,target-0.5_stop-0.5,target-0.5_stop-1.0,target-0.5_stop-1.5,target-0.5_stop-2.0,target-0.5_stop-2.5,target-1.0_stop-0.5,target-1.0_stop-1.0,target-1.0_stop-1.5,target-1.0_stop-2.0,target-1.0_stop-2.5,target-1.5_stop-0.5,target-1.5_stop-1.0,target-1.5_stop-1.5,target-1.5_stop-2.0,target-1.5_stop-2.5,target-2.0_stop-0.5,target-2.0_stop-1.0,target-2.0_stop-1.5,target-2.0_stop-2.0,target-2.0_stop-2.5,target-2.5_stop-0.5,target-2.5_stop-1.0,target-2.5_stop-1.5,target-2.5_stop-2.0,target-2.5_stop-2.5
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin_noFee.meanCI_95.lowerLimit,6.868443113463196e-05,-9.336537266952507e-05,-0.0001821800800598683,-0.00023083470997284898,-0.0002803841351851008,-0.00012651545398773876,-0.00032603577955019275,-0.00046918055189372064,-0.0005371169348470867,-0.0006542875877195312,-0.00027063415826805986,-0.0005384977496258887,-0.0007686969443531416,-0.0009267149223334706,-0.0010851075983487376,-0.00038661302715292813,-0.0007690744709881589,-0.0011008040063211445,-0.0013892482471668903,-0.0015695276774375343,-0.0005116965936537484,-0.0009911453940389474,-0.001417790091637418,-0.0017502079953729366,-0.0020579328271493552
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin_noFee.meanCI_95.upperLimit,0.00018969815201403875,7.313397275334912e-05,2.3307442987454457e-05,6.9787575223084986e-06,-1.3238661949688013e-05,3.722336184816666e-05,-0.00010574204781928101,-0.00020058420370549495,-0.00022622192529561528,-0.0003047954345341215,-8.079905013854242e-05,-0.0002817977280592003,-0.00045486386661416656,-0.0005599978267927302,-0.0006706721530064493,-0.00017686306818151775,-0.00048809232199059616,-0.0007571896993350745,-0.0009862955111202406,-0.0011090919026324787,-0.00029680056585627986,-0.0007004379197814044,-0.0010606337121667037,-0.0013265176004995717,-0.001572133591271053
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.mean,0.360804983229516,0.49209391471011005,0.5797795879252511,0.6401533301389554,0.6837565884044084,0.24897400820793444,0.35567715458276333,0.43137254901960775,0.49247606019151846,0.5348837209302334,0.16643866849065214,0.25034199726402195,0.3155494756041953,0.36890104879160934,0.41130870953032433,0.11445508435932515,0.17555859553123584,0.22891016871865044,0.27222982216142294,0.316917464660283,0.08071135430916557,0.12494300045599638,0.1668946648426813,0.20839033287733685,0.24715002279981743
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.stdDev,0.4803491497549109,0.5000573071630213,0.49371247984701105,0.48007028035660154,0.4651206033081323,0.4325173467674743,0.47882717661631585,0.4953808388187087,0.5000574123028972,0.49889540182859016,0.37255889531035036,0.4333087789879364,0.4648403319005884,0.4826171104840036,0.492183215398405,0.31843579678226863,0.3805309515311588,0.4202271149620012,0.44520908530647707,0.4653810747504724,0.272453446675776,0.3307296856089584,0.3729668440061528,0.40624999599947026,0.43145309543394644
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.firstQuartile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.median,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.thirdQuartile,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.max,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.summary.range,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.positiveCount,753,1027,1210,1336,1427,546,780,946,1080,1173,365,549,692,809,902,251,385,502,597,695,177,274,366,457,542
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.negativeCount,1334,1060,877,751,660,1647,1413,1247,1113,1020,1828,1644,1501,1384,1291,1942,1808,1691,1596,1498,2016,1919,1827,1736,1651
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.positiveProportion,0.36080498322951604,0.4920939147101102,0.5797795879252515,0.6401533301389555,0.6837565884044082,0.24897400820793433,0.35567715458276333,0.43137254901960786,0.49247606019151846,0.5348837209302325,0.1664386684906521,0.2503419972640219,0.31554947560419516,0.3689010487916097,0.4113087095303238,0.11445508435932512,0.17555859553123576,0.22891016871865025,0.2722298221614227,0.3169174646602827,0.08071135430916553,0.12494300045599635,0.16689466484268126,0.208390332877337,0.2471500227998176
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.negativeProportion,0.639195016770484,0.5079060852898898,0.4202204120747484,0.3598466698610446,0.3162434115955918,0.7510259917920656,0.6443228454172366,0.5686274509803921,0.5075239398084815,0.46511627906976744,0.833561331509348,0.7496580027359782,0.6844505243958048,0.6310989512083903,0.5886912904696763,0.8855449156406748,0.8244414044687642,0.7710898312813498,0.7277701778385773,0.6830825353397173,0.9192886456908345,0.8750569995440036,0.8331053351573188,0.791609667122663,0.7528499772001824
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.positiveProportionCI_95.lowerLimit,0.3401678146559711,0.47042739568398684,0.5582599064123706,0.6191375542326754,0.6633203668233362,0.2309931430216527,0.335615499890454,0.41051677629059435,0.4713487951276077,0.5137490560842114,0.15107631031041602,0.232323454766854,0.29613097226081564,0.3486676683612899,0.390613359346055,0.10142310438664928,0.15984736563025467,0.2114701590688056,0.25369097791846573,0.2974728063747756,0.06965196768660226,0.11138030964111661,0.15151568411476146,0.19155973546645222,0.22921791894219534
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.positiveProportionCI_95.upperLimit,0.38182831176114407,0.5137823787555775,0.6010708153162154,0.6607741212867695,0.7036810428489608,0.26762761169517096,0.37612193847322273,0.452408884085861,0.5136293445174898,0.5559302041696946,0.18269690475776973,0.26903025657142404,0.33546335556927853,0.38948475863364973,0.43224292969084,0.1285248115842222,0.19214215085107447,0.24707965529024795,0.29138298399960455,0.3368540814735005,0.09291153893425103,0.1395137089330531,0.18316943146461662,0.2260045418171811,0.265762772671012
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.negativeProportionCI_95.lowerLimit,0.6181716882388558,0.48621762124442225,0.39892918468378463,0.3392258787132303,0.2963189571510392,0.7323723883048292,0.6238780615267772,0.547591115914139,0.48637065548250996,0.44406979583030526,0.8173030952422304,0.730969743428576,0.6645366444307215,0.6105152413663504,0.5677570703091601,0.8714751884157779,0.8078578491489254,0.7529203447097522,0.7086170160003955,0.6631459185264994,0.907088461065749,0.8604862910669469,0.8168305685353833,0.773995458182819,0.734237227328988
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.negativeProportionCI_95.upperLimit,0.6598321853440289,0.5295726043160132,0.4417400935876295,0.38086244576732453,0.33667963317666383,0.7690068569783473,0.6643845001095459,0.5894832237094058,0.5286512048723924,0.4862509439157885,0.848923689689584,0.767676545233146,0.7038690277391844,0.6513323316387101,0.6093866406539452,0.8985768956133509,0.8401526343697453,0.7885298409311945,0.7463090220815343,0.7025271936252246,0.9303480323133979,0.8886196903588832,0.8484843158852386,0.8084402645335478,0.7707820810578048
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.meanCI_95.lowerLimit,0.34019622268584016,0.4706396010994868,0.5585974909447882,0.6195565341270283,0.6638011889987924,0.23087143611543265,0.3356363318288821,0.4106388896300323,0.47154666759198943,0.51400296309308,0.15084559618623833,0.23220630058372194,0.2960940579599713,0.3487016022239588,0.390708883405295,0.10112727910211004,0.15963186095051973,0.21132199173412508,0.25359605030641774,0.2974394147759958,0.06930809338296187,0.11110064702991441,0.1512845182619847,0.19138715394099548,0.22909199386063356
backtestResult.results.groupedByEntryType.bearish.exitInfo.priceTargetsReached.meanCI_95.upperLimit,0.3814137437731918,0.5135482283207332,0.600961684905714,0.6607501261508825,0.7037119878100245,0.26707658030043624,0.3757179773366446,0.4521062084091832,0.5134054527910474,0.5557644787673868,0.18203174079506595,0.26847769394432197,0.33500489324841926,0.3891004953592599,0.43190853565535364,0.12778288961654025,0.19148533011195196,0.2464983457031758,0.29086359401642814,0.3363955145445702,0.09211461523536926,0.13878535388207833,0.18250481142337793,0.22539351181367823,0.2652080517390013
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.mean,6.448011499760428,12.3042644944897,18.127455678006704,23.750838524197402,29.42309535218018,12.049247606019136,21.685362517099865,31.98039215686276,41.19243046055631,50.011399908800726,16.58185134518926,29.338349293205667,43.02143182854542,55.501595987232044,67.11947104423163,19.888280893752853,35.45143638850886,52.31828545371641,69.27815777473776,86.25353397172827,23.633834929320557,42.52165982672135,63.06247150022799,85.78841769265844,108.38212494300039
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.stdDev,8.627146980762069,17.525133192261883,28.09167038055457,35.99237186169293,45.040140863190494,16.166908298491098,25.84835143602428,39.527848429790346,48.6462202226032,58.28155263273331,25.447720468549033,37.04928006939925,50.552485881392094,61.789642866077145,71.85015422226924,31.585560639073133,47.00868201947109,63.584839858512744,79.78543398494932,97.42911758798972,40.619849305419656,63.42960212480345,85.74615726691306,110.67479615736855,132.80415403883873
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.min,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.firstQuartile,2,3,4,5,5,3,6,8,11,13,3,7,11,16,20,3,8,13,20,26,3,8,15,23,30
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.median,4,7,10,12,14,6,13,19,24,31,7,17,26,36,44,8,20,31,43,52,8,21,35,48,62
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.thirdQuartile,8,14,21,29,37,14,28,40,52,62,20,37,53,67,82,23,43,61,83,108,26,51,75,104,137
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.max,111,183,309,317,434,154,280,312,335,437,251,410,449,610,674,283,544,544,610,899,538,833,902,902,1163
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.summary.range,110,182,308,316,433,153,279,311,334,436,250,409,448,609,673,282,543,543,609,898,537,832,901,901,1162
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.positiveCount,2087,2087,2087,2087,2087,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.positiveProportionCI_95.lowerLimit,0.9982337951660156,0.9982337951660156,0.9982337951660156,0.9982337951660156,0.9982337951660156,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.negativeProportionCI_95.upperLimit,0.001766204833984375,0.001766204833984375,0.001766204833984375,0.001766204833984375,0.001766204833984375,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.meanCI_95.lowerLimit,6.0778748889382,11.552371265075989,16.922218803037506,22.206632245337463,27.49070621736745,11.372598160225603,20.603506150320403,30.325994405628855,39.156392564761056,47.57208500945128,15.51676297864242,27.787689490901464,40.90560912926519,52.915453551760095,64.11225617438444,18.56629949156344,33.48393598282348,49.65700688042551,65.9388198697067,82.17573769782851,21.933732596007122,39.86687857032872,59.473653606147586,81.15623706167254,102.82374262460459
backtestResult.results.groupedByEntryType.bearish.exitInfo.candlesToExit.meanCI_95.upperLimit,6.818148110582656,13.056157723903413,19.332692552975903,25.29504480305734,31.35548448699291,12.72589705181267,22.767218883879327,33.634789908096664,43.22846835635156,52.450714808150174,17.646939711736103,30.88900909550987,45.13725452782565,58.08773842270399,70.12668591407882,21.210262295942265,37.41893679419424,54.979564027007314,72.61749567976882,90.33133024562804,25.33393726263399,45.17644108311397,66.65128939430839,90.42059832364434,113.94050726139619
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.mean,386.88068998562517,738.2558696693816,1087.6473406804023,1425.0503114518447,1765.3857211308105,722.9548563611489,1301.1217510259924,1918.8235294117626,2471.545827633376,3000.6839945280462,994.9110807113542,1760.3009575923406,2581.2859097127243,3330.0957592339273,4027.1682626538973,1193.2968536251708,2127.0861833105337,3139.0971272229826,4156.689466484267,5175.212038303705,1418.0300957592326,2551.299589603286,3783.7482900136806,5147.30506155951,6502.927496580022
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.stdDev,517.6288188457244,1051.5079915357132,1685.5002228332744,2159.5423117015757,2702.4084517914293,970.0144979094656,1550.9010861614565,2371.670905787421,2918.7732133561913,3496.8931579639975,1526.8632281129428,2222.9568041639563,3033.1491528835254,3707.3785719646266,4311.009253336154,1895.1336383443886,2820.520921168265,3815.0903915107665,4787.126039096957,5845.747055279381,2437.19095832518,3805.7761274882073,5144.7694360147825,6640.487769442116,7968.2492423303265
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.min,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.firstQuartile,120,180,240,300,300,180,360,480,660,780,180,420,660,960,1200,180,480,780,1200,1560,180,480,900,1380,1800
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.median,240,420,600,720,840,360,780,1140,1440,1860,420,1020,1560,2160,2640,480,1200,1860,2580,3120,480,1260,2100,2880,3720
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.thirdQuartile,480,840,1260,1740,2220,840,1680,2400,3120,3720,1200,2220,3180,4020,4920,1380,2580,3660,4980,6480,1560,3060,4500,6240,8220
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.max,6660,10980,18540,19020,26040,9240,16800,18720,20100,26220,15060,24600,26940,36600,40440,16980,32640,32640,36600,53940,32280,49980,54120,54120,69780
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.summary.range,6600,10920,18480,18960,25980,9180,16740,18660,20040,26160,15000,24540,26880,36540,40380,16920,32580,32580,36540,53880,32220,49920,54060,54060,69720
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.positiveCount,2087,2087,2087,2087,2087,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.positiveProportionCI_95.lowerLimit,0.9982337951660156,0.9982337951660156,0.9982337951660156,0.9982337951660156,0.9982337951660156,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594,0.9983177185058594
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.negativeProportionCI_95.upperLimit,0.001766204833984375,0.001766204833984375,0.001766204833984375,0.001766204833984375,0.001766204833984375,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625,0.001682281494140625
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.meanCI_95.lowerLimit,364.6724933362915,693.1422759045588,1015.3331281822503,1332.3979347202483,1649.4423730420467,682.355889613537,1236.2103690192248,1819.5596643377285,2349.383553885661,2854.325100567079,931.0057787185438,1667.2613694540883,2454.3365477559105,3174.9272131056105,3846.735370463066,1113.977969493806,2009.036158969411,2979.4204128255287,3956.3291921824034,4930.54426186972,1316.0239557604266,2392.012714219729,3568.4192163688563,4869.374223700356,6169.4245574762745
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.meanCI_95.upperLimit,409.08888663495884,783.3694634342044,1159.9615531785544,1517.702688183441,1881.3290692195742,763.5538231087609,1366.03313303276,2018.0873944857967,2593.708101381091,3147.0428884890134,1058.8163827041647,1853.340545730593,2708.235271669538,3485.264305362244,4207.601154844729,1272.6157377565355,2245.136207651656,3298.7738416204365,4357.04974078613,5419.879814737691,1520.0362357580386,2710.5864649868436,3999.077363658505,5425.235899418664,6836.43043568377
backtestResult.results.groupedByEntryType.skipped.sampleSize,228,228,228,228,228,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.individualResults,deleted,deleted,deleted,deleted,deleted,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.mean,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.stdDev,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.min,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.firstQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.median,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.thirdQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.max,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.summary.range,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.positiveCount,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.negativeCount,228,228,228,228,228,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.positiveProportion,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.negativeProportion,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.positiveProportionCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.positiveProportionCI_95.upperLimit,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.negativeProportionCI_95.lowerLimit,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.negativeProportionCI_95.upperLimit,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.meanCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin.meanCI_95.upperLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.sortedValues,deleted,deleted,deleted,deleted,deleted,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.mean,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.stdDev,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.min,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.firstQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.median,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.thirdQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.max,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.summary.range,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.positiveCount,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.negativeCount,228,228,228,228,228,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.positiveProportion,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.negativeProportion,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.positiveProportionCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.positiveProportionCI_95.upperLimit,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.negativeProportionCI_95.lowerLimit,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.negativeProportionCI_95.upperLimit,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.meanCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByEntryType.skipped.profitInfo.profitMargin_noFee.meanCI_95.upperLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByAll.sampleSize,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
backtestResult.results.groupedByAll.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
